PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"LÍQUIDO AMNIÓTICO, CITOLOGIA; LÍQUIDO AMNIÓTICO, CREATININA.",,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MATURIDADE PULMONAR FETAL - QUALQUER TÉCNICA,,,,Ambulatorial,HCO,,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PESQUISA DE BANDAS OLIGOCLONAIS NO LÍQUOR POR ISOFOCALIZAÇÃO,,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PROTEÍNA MIELINA BÁSICA, ANTICORPOS",,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PUNÇÃO LOMBAR COM MANOMETRIA PARA COLETA DE LÍQUIDO CEFALORRAQUEANO,,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RAGÓCITOS, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ROTINA LÍQUIDO SINOVIAL - CARACTERES FÍSICOS, CITOLOGIA, PROTEÍNAS, ÁCIDO ÚRICO, FATOR
REUMATÓIDE, MICROBIOLOGIA (COLORAÇÃO DE GRAM + CULTURA AERÓBICA E ANAERÓBICA)",,,,Ambulatorial,HCO,HSO,REF,,,"LÍQUIDOS (CEFALORRAQUEANO (LÍQUOR),
SEMINAL, AMNIÓTICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ANTIBIOGRAMA (TESTE DE SENSIBILIDADE A ANTIBIÓTICOS E QUIMIOTERÁPICOS) PARA MICOBACTÉRIAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ANTIBIOGRAMA (TESTE SENSIBILIDADE A ANTIBIÓTICOS E QUIMIOTERÁPICOS), PARA BACTÉRIAS
ANAERÓBICAS E/OU AERÓBICAS",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ANTIFUNGIGRAMA,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"B.A.A.R. (BACILO ÁLCOOL-ÁCIDO RESISTENTE), PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"BACILO DE HANSEN, PESQUISA PCR",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"BACTERIOSCOPIA, PELO MÉTODO DE GRAM OU SIMILAR",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"BORDETELLA PERTUSSIS, CULTURA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CHLAMYDIA, CULTURA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CRYPTOCOCCUS NEOFORMANS, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CRYPTOCOCCUS NEOFORMANS, PESQUISA DO ANTÍGENO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CRYPTOSPORIDIUM, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA BACTERIANA (EM DIVERSOS MATERIAIS BIOLÓGICOS),,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA BACTERIANA QUANTITATIVA (EM DIVERSOS MATERIAIS BIOLÓGICOS),,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CULTURA DE FEZES, INCLUI PROCEDIMENTOS PARA ISOLAMENTO E IDENTIFICAÇÃO DE: SALMONELLA,
SHIGELLA, ESCHERICHIA COLI (ENTEROPATOGÊNICA, ENTEROINVASORA E ENTERO-HEMORRÁGICA) E
CAMPYLOBACTER",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA DE URINA COM CONTAGEM DE COLÔNIAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA PARA BACTÉRIAS ANAERÓBICAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA PARA BACTÉRIAS COM SISTEMA AUTOMATIZADO DE IDENTIFICAÇÃO BACTERIANA,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA PARA FUNGOS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CULTURA PARA MICOBACTÉRIAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CULTURA PARA VÍRUS: ENTEROVÍRUS, HERPESVÍRUS, VÍRUS INFLUENZA A & B, VÍRUS PARAINFLUENZA TIPOS
1, 2, 3, ADENOVÍRUS, VÍRUS VARICELA-ZOSTER, CITOMEGALOVÍRUS, E VÍRUS SINCICIAL RESPIRATÓRIO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ESTREPTOCOCO DO GRUPO A, DETECÇÃO RÁPIDA DE ANTÍGENO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EXAME MICROSCÓPICO DIRETO,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"FILÁRIA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"FUNGOS, EXAME MICROSCÓPICO DIRETO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEMOCULTURA AUTOMATIZADA PARA BACTÉRIAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEMOCULTURA PARA BACTÉRIAS,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"LEISHMANIA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"LEPTOSPIRA, MICROSCOPIA DE CAMPO ESCURO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"MICOPLASMA E UREAPLASMA, CULTURA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"MICROSPORÍDIA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PARACOCCIDIOIDES, PESQUISA DE",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PLASMÓDIO, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PNEUMOCYSTI CARINII, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ROTAVÍRUS, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"SARCOPTES SCABIEI, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"SENSIBILIDADE AOS ANTIBIÓTICOS E QUIMIOTERÁPICOS POR MÉTODO DA CONCENTRAÇÃO INIBITÓRIA
MÍNIMA (MIC)",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TESTE RÁPIDO PARA DETECÇÃO DE HIV EM GESTANTE,,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"TREPONEMA PALLIDUM, MICROSCOPIA DE CAMPO ESCURO",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"TRYPANOSOMA CRUZII, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"VIBRIO CHOLERAE, CULTURA",,,,Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO HOMOGENTÍSICO,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ALCAPTONÚRIA - PESQUISA E/OU DOSAGEM NA URINA,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CÁLCULOS URINÁRIOS, ANÁLISE QUÍMICA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CATECOLAMINAS URINÁRIAS, FRACIONAMENTO (DOPAMINA, EPINEFRINA, NOREPINEFRINA)",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CISTINA, PESQUISA E/OU DOSAGEM",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CISTINÚRIA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"COPROPORFIRINAS URINÁRIAS, ISÔMEROS I E III",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CORPOS CETÔNICOS, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"DISMORFISMO ERITROCITÁRIO, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ELETROFORESE DE PROTEÍNAS URINÁRIAS,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"FENILCETONÚRIA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"HISTIDINA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"LIPÓIDES BIRREFRINGENTES, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"MELANINA, PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"METANEFRINAS URINÁRIAS, DOSAGEM",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MICROALBUMINÚRIA,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"MIOGLOBINA, DOSAGEM OU PESQUISA",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"OSMOLALIDADE, DETERMINAÇÃO",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PESQUISA DE SULFATÍDEOS E MATERIAL METACROMÁTICO NA URINA,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PORFOBILINOGÊNIO,,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PORFOBILINOGÊNIO, QUANTITATIVO",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"PROTEÍNA DE BENCE JONES, QUANTITATIVA (CADEIAS LEVES LIVRES, KAPPA E LAMBDA, URINA)",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROVA DE CONCENTRAÇÃO URINÁRIA COM RESTRIÇÃO HÍDRICA E ACETATO DE DESMOPRESSINA (DDAVP),,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ROTINA DE URINA (EXAME MACROSCÓPICO E FÍSICO, INCLUINDO PH E DENSIDADE; TESTES QUÍMICOS PARA
GLICOSE, PROTEÍNA, CORPOS CETÔNICOS, BILIRRUBINA, HEMOGLOBINA E UROBILINOGÊNIO; EXAME
MICROSCÓPICO DO SEDIMENTO)",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"UROPORFIRINAS, DOSAGEM",,,,Ambulatorial,HCO,HSO,REF,,,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"EXAME DA BILE E DO SUCO DUODENAL (CARACTERES FÍSICOS E EXAME MICROSCÓPICO E
PARASITOLÓGICO)",,,,Ambulatorial,HCO,HSO,REF,,,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
GASTROACIDOGRAMA - SECREÇÃO BASAL PARA 60 MINUTOS E 4 AMOSTRAS APÓS O ESTÍMULO,,,,Ambulatorial,HCO,HSO,REF,,,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PESQUISA DE EOSINÓFILOS EM MUCO NASAL,,,,Ambulatorial,HCO,HSO,REF,,,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TESTE DE FUNÇÃO PANCREÁTICA APÓS ESTIMULAÇÃO PELA SECRETINA,,,,Ambulatorial,HCO,HSO,REF,,,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"TESTE DO SUOR, COM DOSAGEM DE CLORETO",,,,Ambulatorial,HCO,HSO,REF,,,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"2,5-HEXANODIONA, AVALIAÇÃO DA EXPOSIÇÃO AO HEXANO.",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO DELTA AMINOLEVULÍNICO (PARA CHUMBO INORGÂNICO) - PESQUISA E/OU DOSAGEM,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO DELTA AMINOLEVULÍNICO DESIDRATASE (PARA CHUMBO INORGÂNICO) - PESQUISA E/OU DOSAGEM,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO FENILGLIOXÍLICO, AVALIAÇÃO DA EXPOSIÇÃO AO ESTIRENO",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO HIPÚRICO, AVALIAÇÃO DA EXPOSIÇÃO AO TOLUENO",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO METILMALÔNICO, PESQUISA E/OU DOSAGEM",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO MANDÉLICO, AVALIAÇÃO DA EXPOSIÇÃO AO ESTIRENO E AO ETILBENZENO",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO METIL-HIPÚRICO, AVALIAÇÃO DA EXPOSIÇÃO AO XILENO",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ÁCIDO SALICÍLICO (SALICILATOS),,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ÁCIDO TRICLOROACÉTICO, AVALIAÇÃO DA EXPOSIÇÃO AO TETRACLOROETILENO",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ARSÊNIO, CÁDMIO, COBALTO, CROMO, MANGANÊS, MERCÚRIO, NÍQUEL",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CARBOXIHEMOGLOBINA, AVALIAÇÃO DA EXPOSIÇÃO AO MONÓXIDO DE CARBONO OU DICLOROMETANO.",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CHUMBO,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"COLINESTERASE, AVALIAÇÃO DA EXPOSIÇÃO AOS INSETICIDAS ORGANOFOSFORADOS E CARBAMATOS",,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ETANOL,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FENOL,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FLÚOR E FLUORETOS,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FORMALDEÍDO,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
METANOL,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
METIL-ETIL-CETONA,,,,Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
